date,price
2025-01-01,75872701
2025-01-02,78753572
2025-01-03,77659970
2025-01-04,76993292
2025-01-05,74780093
2025-01-06,74779973
2025-01-07,74290418
2025-01-08,78330881
2025-01-09,77005575
2025-01-10,77540363
2025-01-11,74102922
2025-01-12,78849549
2025-01-13,78162213
2025-01-14,75061696
2025-01-15,74909125
2025-01-16,74917023
2025-01-17,75521211
2025-01-18,76623782
2025-01-19,76159725
2025-01-20,75456146
2025-01-21,82364265
2025-01-22,74697469
2025-01-23,75460723
2025-01-24,75831809
2025-01-25,76280350
2025-01-26,77925880
2025-01-27,74998369
2025-01-28,76571172
2025-01-29,76962073
2025-01-30,74232252
2025-01-31,77037724
2025-02-01,74852621
2025-02-02,74325258
2025-02-03,78744428
2025-02-04,78828160
2025-02-05,78041987
2025-02-06,75523069
2025-02-07,74488361
2025-02-08,77421165
2025-02-09,76200762
2025-02-10,74610191
2025-02-11,76475885
2025-02-12,74171943
2025-02-13,78546602
2025-02-14,75293900
2025-02-15,71632018
2025-02-16,75558555
2025-02-17,76600340
2025-02-18,76733551
2025-02-19,74924272
2025-02-20,78847923
2025-02-21,77875664
2025-02-22,78697495
2025-02-23,78474137
2025-02-24,76989500
2025-02-25,78609371
2025-02-26,74442463
2025-02-27,74979914
2025-02-28,74226136
2025-03-01,75626652
2025-03-02,75943386
2025-03-03,75356745
2025-03-04,78143688
2025-03-05,75783767
2025-03-06,75404673
2025-03-07,76713480
2025-03-08,74704621
2025-03-09,78010985
2025-03-10,74372753
2025-03-11,78934435
2025-03-12,77861224
2025-03-13,74993578
2025-03-14,74027611
2025-03-15,78077307
2025-03-16,77534287
2025-03-17,81453894
2025-03-18,77856352
2025-03-19,74370223
2025-03-20,75792329
2025-03-21,74579345
2025-03-22,78315517
2025-03-23,77116491
2025-03-24,75654490
2025-03-25,74317792
2025-03-26,75554912
2025-03-27,75625917
2025-03-28,77648031
2025-03-29,77187787
2025-03-30,78436064
2025-03-31,76361075
2025-04-01,74597971
2025-04-02,77566224
2025-04-03,77803925
2025-04-04,76806386
2025-04-05,77854836
2025-04-06,76468978
2025-04-07,76613664
2025-04-08,76137705
2025-04-09,74127096
2025-04-10,74539457
2025-04-11,69773825
2025-04-12,77182052
2025-04-13,75571780
2025-04-14,76542853
2025-04-15,78537832
2025-04-16,75246461
2025-04-17,76051915
2025-04-18,77777756
2025-04-19,75143991
2025-04-20,74384900
2025-04-21,75448757
2025-04-22,74806106
2025-04-23,78648488
2025-04-24,78040602
2025-04-25,77167019
2025-04-26,78357303
2025-04-27,78018360
2025-04-28,74932850
2025-04-29,78462795
2025-04-30,76696711
2025-05-01,78037201
2025-05-02,78480456
2025-05-03,75590017
2025-05-04,74550260
2025-05-05,75139676
2025-05-06,76135539
2025-05-07,78090074
2025-05-08,78303653
2025-05-09,74034761
2025-05-10,76553737
2025-05-11,84698774
2025-05-12,75110539
2025-05-13,74599327
2025-05-14,75688076
2025-05-15,78714549
2025-05-16,75616015
2025-05-17,76593953
2025-05-18,77515095
2025-05-19,75818148
2025-05-20,78858910
2025-05-21,78812236
2025-05-22,75258911
2025-05-23,76486243
2025-05-24,75504392
2025-05-25,75424202
2025-05-26,74184435
2025-05-27,77047822
2025-05-28,76513395
2025-05-29,74257394
2025-05-30,75393232
2025-05-31,70979952
2025-06-01,75197809
2025-06-02,74724474
2025-06-03,76447264
2025-06-04,78928252
2025-06-05,75210276
2025-06-06,77360678
2025-06-07,77808098
2025-06-08,75188188
2025-06-09,77641082
2025-06-10,75838916
2025-06-11,77161529
2025-06-12,77167649
2025-06-13,76678873
2025-06-14,74451449
2025-06-15,78176512
2025-06-16,75603900
2025-06-17,74932593
2025-06-18,74203876
2025-06-19,76954465
2025-06-20,77387822
2025-06-21,74082939
2025-06-22,76560465
2025-06-23,75132479
2025-06-24,77225864
2025-06-25,74871832
2025-06-26,77454689
2025-06-27,75933677
2025-06-28,78683650
2025-06-29,74687605
